"state_name","n_places_incounty","state_cy","state_cc","state_propCC","state_dvp","state_rvp","state_pop","state_medage","state_medgrossrent","state_medhhic","state_percHispanic","state_percOther","state_percWhite","state_percBlack","state_fips"
"Virginia",1,82,0,0,46.14,53.86,7841754,40.2291044776119,777.388059701493,22197.6194029851,4.06184539943104,2.08474624664128,75.7658634263879,19.2776318752724,"51"
"Alabama",13,194,2,1.03,38.7,61.3,4712651,38.8940298507463,546.268656716418,27182.2388059701,2.73178687991514,1.30516768297741,68.4006066001675,28.3310769636952,"01"
"California",16,480,6,1.25,53.19,46.81,36637290,37.998275862069,993.155172413793,213669.862068966,27.4724824687527,9.10358632954159,74.1333142432605,3.27274792696315,"06"
"Colorado",14,13,0,0,43.94,56.06,4887061,40.7140625,758.703125,29983.734375,18.1803470817887,2.48614503286997,89.4225616790669,1.40585765716506,"08"
"Georgia",1,28,0,0,37.53,62.47,9468815,37.3817610062893,632.798742138365,21815.748427673,5.0926413939524,1.27712951767221,66.7264737444969,28.5807743437322,"13"
"Kentucky",7,7,0,0,31.98,68.02,4285828,39.1841666666667,521.533333333333,13972.5666666667,1.77845435374593,0.659121305681721,93.9278846869216,3.67817305762434,"21"
"Michigan",35,144,0,0,46.8,53.2,9952687,41.8614457831325,614.44578313253,46313.2168674699,2.92453795297747,2.26571800291279,91.0974945399766,3.78682449236812,"26"
"Missouri",18,104,1,0.96,33.69,66.31,5922314,40.1808695652174,537.634782608696,20434.3913043478,2.21974887127136,1.06108946834611,93.2329838060153,3.34034927897973,"29"
"Nebraska",8,55,0,0,25.92,74.08,1799125,42.9569892473118,521.967741935484,7653.45161290323,4.89649121923463,1.81526118567811,94.8479617705018,0.620117486157887,"31"
"New Hampshire",29,8,0,0,54.96,45.04,1313939,41.63,859.2,51380.4,1.83603553763199,1.81032401884233,95.6782858777741,0.755507847828658,"33"
"New Mexico",17,4,0,0,49.98,50.02,2013122,39.930303030303,596.212121212121,22912.4848484848,44.408678911297,8.65583621100791,73.7989370393003,1.35038898984546,"35"
"New York",46,109,1,0.92,53.14,46.86,19229752,39.7112903225806,771.725806451613,116221.612903226,6.62166046168191,2.9061117021372,86.5672654430895,6.12451026525337,"36"
"North Carolina",4,183,1,0.55,44.47,55.53,9271178,40.095,638.38,36261.79,6.0025145339955,2.50579128720464,71.9952951936089,20.7469121640339,"37"
"Oklahoma",7,99,1,1.01,27.38,72.62,3675339,39.1662337662338,550.454545454545,18463.7012987013,7.05205551275902,9.2190108195275,77.4416621621436,3.55745527540465,"40"
"South Carolina",7,13,0,0,49.22,50.78,4511428,38.7695652173913,618.130434782609,37869.4347826087,3.75825880646713,1.07840577268679,59.6790771823495,36.430738110414,"45"
"South Dakota",14,223,1,0.45,39.09,60.91,799462,40.4212121212121,472.772727272727,4779.81818181818,1.67338498478246,14.1056515794773,83.4977703767057,0.37988112926606,"46"
"Tennessee",11,182,0,0,32.37,67.63,6234968,40.0284210526316,565.031578947368,25720.7894736842,2.72663958079323,0.838706872275757,89.5982284052417,7.12954496565025,"47"
"Texas",3,119,0,0,28.28,71.72,24311891,38.438188976378,NA,33618.9212598425,30.9232051430651,1.60460984040202,82.9340707445691,6.58882551700461,"48"
"Washington",19,86,0,0,46.91,53.09,6561297,40.4897435897436,711.25641025641,66086.5384615385,12.1226702711545,5.11093028673935,84.9252347236557,1.22011083820176,"53"
"Wisconsin",37,51,2,3.92,51.24,48.76,5637947,41.1416666666667,619.388888888889,31591.8194444444,2.86888260405673,3.73975182983458,92.5714315556933,1.48875299331892,"55"
"Arizona",59,8,0,0,44.76,55.24,6246816,38.1666666666667,698.533333333333,155097.866666667,29.1045825043288,14.9555475130311,71.9190631387182,1.73386149737472,"04"
"Arkansas",18,5,0,0,35.87,64.13,2872684,39.844,541.173333333333,14895.3866666667,4.16185183005925,1.20430371998002,79.6012414133799,15.9661428354363,"05"
"Florida",50,19,0,0,39.85,60.15,18511620,41.444776119403,818.208955223881,106758.865671642,11.8581072993257,1.96764703930162,79.768524260956,14.0577065553105,"12"
"Illinois",136,238,0,0,41.87,58.13,12745359,40.0598039215686,593.794117647059,46764.2254901961,4.03953187762189,1.24400539797037,91.2348167563201,4.78200525575103,"17"
"Indiana",22,4,0,0,38.03,61.97,6417398,38.6945652173913,624.608695652174,26797.847826087,3.19384969257434,0.956607653840332,94.0314116284481,2.49528627650173,"18"
"Iowa",12,39,0,0,47.82,52.18,3016267,41.5080808080808,532.656565656566,12282.3636363636,3.39795521192189,1.13663467277193,95.519440423359,1.02159168703565,"19"
"Massachusetts",59,55,0,0,64.62,35.38,6477096,40.1428571428571,1024.07142857143,179468,7.1515717451434,3.66987953432484,85.2230267919144,5.52262691065903,"25"
"Minnesota",22,58,0,0,47.81,52.19,5241914,40.7908045977012,594.816091954023,23976.0574712644,3.37256506329365,3.09666450400869,93.1818710489141,1.21856153575748,"27"
"Mississippi",6,2,0,0,46.32,53.68,2941991,36.6963414634146,565.085365853659,13183.5609756098,1.74552673939493,0.982728282856626,56.8913597230322,40.780224704919,"28"
"Nevada",17,8,0,0,33.89,66.11,2633331,41.4470588235294,757.882352941176,57624.7647058823,15.0163429247449,5.72354145337443,86.5750843959006,1.93364068261442,"32"
"New Jersey",71,91,1,1.1,56.45,43.55,8721577,39.2190476190476,1067.14285714286,151241.380952381,14.4617760785941,6.38063177567349,74.0278436816504,12.0317202023115,"34"
"Ohio",12,185,0,0,43.14,56.86,11512431,39.1261363636364,620.397727272727,51730.3409090909,2.14198083323334,0.994411794887542,92.7493160259694,4.03053894660353,"39"
"Oregon",22,91,8,8.79,43.3,56.7,3761925,42.2027777777778,697.722222222222,41646.3055555556,10.1740887311901,3.69209189643548,89.56863145133,0.626383606427333,"41"
"Utah",24,40,0,0,18.84,81.16,2657236,32.7379310344828,684.241379310345,29626.1379310345,7.6987425770659,4.324137212059,91.8347793659053,0.477623021737476,"49"
"Vermont",36,9,0,0,66.4,33.6,624258,42.2,761.285714285714,18329.4285714286,1.33102839832824,1.08722023465913,96.2866527500006,0.684540721021778,"50"
"West Virginia",11,5,0,0,33.73,66.27,1840802,42.1,507.945454545455,13470.4363636364,0.889299293795253,0.536289902349215,95.9091673870729,2.20323514716431,"54"
"Maine",36,1,0,0,56.11,43.89,1327665,43.2625,658.375,34445.3125,1.1283323188048,1.36918012638936,96.1919250877415,0.653974326082152,"23"
"Rhode Island",25,2,0,0,61.6,38.4,1056389,40.9,939.2,82061,5.84207303670048,2.57850254188414,89.9957899879267,3.12971905544677,"44"
"Montana",8,7,0,0,34.46,65.54,973739,43.8464285714286,527.892857142857,7166.57142857143,2.04899372653323,7.97336709305823,89.1185294406478,0.433274835150963,"30"
"Pennsylvania",149,52,1,1.92,41.31,58.69,12612705,41.2014925373134,639.402985074627,73740.0149253731,3.11081193187295,1.33392413797474,92.2284445239604,4.19852487105966,"42"
"Wyoming",14,3,0,0,24.78,75.22,545579,39.904347826087,652.565217391304,9464.69565217391,7.32601028530513,2.35548811825893,93.301055885446,0.409639785021411,"56"
"Connecticut",106,0,0,0,57.3,42.7,3545837,39.9125,961.875,169902.25,9.25530532247658,3.33352015932293,84.1750005487856,6.36878964178778,"09"
"Delaware",27,0,0,0,54.4,45.6,881278,39.1666666666667,921.666666666667,110546.333333333,7.14675737052689,2.95280163433996,72.5046548365174,19.7426680975684,"10"
"District of Columbia",1,0,0,0,92.59,7.41,584400,34.3,1063,257317,8.7784052019165,3.81759069130732,38.0518480492813,52.8829568788501,"11"
"Hawaii",55,0,0,0,77.9,22.1,1333591,44,1019.8,88453.4,7.68847968579464,39.0456227012475,31.7512268316879,0.778439428156292,"15"
"Idaho",3,0,0,0,27.55,72.45,1526797,38,601.954545454545,12960.9772727273,11.1915582215745,2.41296184814732,92.4621488977377,0.316746979502688,"16"
"Kansas",12,0,0,0,25.81,74.19,2809329,41.2714285714286,529.838095238095,10492.1142857143,7.7889154692244,1.69650467820344,92.5026029623931,1.80921374803591,"20"
"Louisiana",9,0,0,0,37.71,62.29,4429940,36.8390625,598.125,25643.203125,2.6660095837221,1.45809703850226,64.7519006005897,31.8486079694675,"22"
"Maryland",44,0,0,0,49.62,50.38,5696423,39.3041666666667,970.541666666667,88376.9583333333,4.56823033428986,3.17400551417056,73.4467812354341,19.6633891931279,"24"
"North Dakota",7,0,0,0,36.46,63.54,659858,44.3,442.811320754717,5219.66037735849,1.49008802365482,6.95786608072723,91.2290856932966,0.347575393840045,"38"
"Virginia",1,71,2,2.82,46.14,53.86,7841754,40.2291044776119,777.388059701493,22197.6194029851,4.06184539943104,2.08474624664128,75.7658634263879,19.2776318752724,"51"
"Alabama",13,168,2,1.19,38.7,61.3,4712651,38.8940298507463,546.268656716418,27182.2388059701,2.73178687991514,1.30516768297741,68.4006066001675,28.3310769636952,"01"
"California",16,921,10,1.09,53.19,46.81,36637290,37.998275862069,993.155172413793,213669.862068966,27.4724824687527,9.10358632954159,74.1333142432605,3.27274792696315,"06"
"Georgia",1,23,0,0,37.53,62.47,9468815,37.3817610062893,632.798742138365,21815.748427673,5.0926413939524,1.27712951767221,66.7264737444969,28.5807743437322,"13"
"Michigan",11,179,2,1.12,46.8,53.2,9952687,41.8614457831325,614.44578313253,46313.2168674699,2.92453795297747,2.26571800291279,91.0974945399766,3.78682449236812,"26"
"Missouri",18,110,0,0,33.69,66.31,5922314,40.1808695652174,537.634782608696,20434.3913043478,2.21974887127136,1.06108946834611,93.2329838060153,3.34034927897973,"29"
"Nebraska",8,66,0,0,25.92,74.08,1799125,42.9569892473118,521.967741935484,7653.45161290323,4.89649121923463,1.81526118567811,94.8479617705018,0.620117486157887,"31"
"New Mexico",17,33,1,3.03,49.98,50.02,2013122,39.930303030303,596.212121212121,22912.4848484848,44.408678911297,8.65583621100791,73.7989370393003,1.35038898984546,"35"
"New York",46,89,6,6.74,53.14,46.86,19229752,39.7112903225806,771.725806451613,116221.612903226,6.62166046168191,2.9061117021372,86.5672654430895,6.12451026525337,"36"
"North Carolina",4,121,2,1.65,44.47,55.53,9271178,40.095,638.38,36261.79,6.0025145339955,2.50579128720464,71.9952951936089,20.7469121640339,"37"
"Oklahoma",7,64,0,0,27.38,72.62,3675339,39.1662337662338,550.454545454545,18463.7012987013,7.05205551275902,9.2190108195275,77.4416621621436,3.55745527540465,"40"
"Oregon",5,148,16,10.81,43.3,56.7,3761925,42.2027777777778,697.722222222222,41646.3055555556,10.1740887311901,3.69209189643548,89.56863145133,0.626383606427333,"41"
"Pennsylvania",103,94,0,0,41.31,58.69,12612705,41.2014925373134,639.402985074627,73740.0149253731,3.11081193187295,1.33392413797474,92.2284445239604,4.19852487105966,"42"
